index,tittle,genre,overview,director,cast
0,I,Romance Thriller,The morale of the story is simply how pure love and sacrifice can overcome prejudice and evil. Shank,Shankar S,"Vikram , Amy Jackson, Santhanam , Suresh Gopi, Upen Patel"
1,Darling,Horror Comedy,A rather interesting plot about a group of youngsters who plan to commit suicide but are not let off,Sam Anton,"Gv Prakash, Karunas , Nikki Galrani, Rajendran, Bala Saravanan"
2,Aambala (U),Comedy Action,Long lost family members who have a grudge against each other due to misunderstanding have,Sundar C,"Vishal Krishna, Hansika Motwani, Ramya Krishnan, Prabhu Ganesan, Santhanam , Vaibhav Reddy, Sathish "
3,Isai (U/A),Love Drama,"A maestro decides to snuff out his subordinate, after the latter subdued all his fame.",Suryah S.j.,"S J Surya, Savitri , Sathyaraj , Thambi Ramaiah, Ganja Karuppu, Jayaprakash"
4,Yennai Arindhaal,Action Drama,"The life of a young boy, Sathyadev, takes a destined route when his father becomes an incidental cas",Gautham Menon,"Ajith Kumar, Anushka Shetty, Arun Vijay, Vivek , Trisha Krishnan, Daniel Balaji, Thalaivasal Vijay"
5,Anegan,Fantasy Love,A story about Love that travels across eras.,K.v Anand,"Dhanush , Amyra Dastur, Karthik Muthuraman, Ashish Vidyarthi, Jagan, Thalaivasal Vijay"
6,Tamiluku En Ondrai Aluthavum,Drama Thriller,"A deadly bomb will be activated if a computer geek restores a city's mobile networks, which are down",Ramprakash Rayappa,"Nakul , Dinesh , Bindu Madhavi, Urvashi , Sathish"
7,Sandamarudham,Action Drama,"An undercover cop tries to foil the plans of an unrepentant criminal, who tries to supply an extreme",A Venkatesh,"Sarathkumar R, Samuthirakani , Oviya , Meera Nandan, Radha Ravi , Thambi Ramaiah, Vijayakumar"
8,Kakki Sattai,Action Drama,A cop from the lower rung of hierarchy has to take on a powerful underworld mastermind.,Senthil,"Sivakarthikeyan , Sri Divya, Prabhu Ganesan, Mano Bala , Imman, Yogi Babu, Mayilsamy"
9,Enakkul Oruvan,Mystery Drama,An insomniac is introduced to a drug named Lucia that would enable him lead an alternate life in his,Prasad Kumar,"Siddharth Narayan, Deepa Sannidhi, Ajay Rathnam, Aadukalam Naren"
10,Katham Katham,,A corrupt police officer is suspected in the murder of another officer,Babu Thooyavan,"Nandha Durairaj, Natraj, Nizhalgal Ravi, Sanam Shetty"
11,Rajathanthiram,Crime Thriller,Small-time criminals plan a big-time heist. Will they be successful in their attempt?,Ag Amid,"Veera Bahu, Regina Cassandra, Ilavarasu, Aadukalam Naren"
12,Mahabalipuram,,"Panja, Kuppan,Kumar and Saamy help their friend Sathish to marry his girlfriend Sangeetha amidst opp",Don Sandy,
13,Valiyavan,Romance Action,Vinod is shocked when a young woman proposes to him and asks him to beat an Olympic boxer in a match,Saravanan M,"Jai , Andrea Jeremiah, Bala Saravanan"
14,Komban,Action Drama,A ruffian with a heart of gold who cannot stand injustice.,: Muthaiah,"Karthik Sivakumar, Lakshmi Menon, Rajkiran , Kovai Sarala, Karunas , Thambi Ramaiah"
15,Nanbenda,Romance Comedy,"A man, who falls in love at first sight, gets responsible and also gets into trouble.",Jagadish,"Udhayanidhi Stalin, Santhanam , Nayantara"
16,Sagaptham,Action Drama,"On migrating to Malaysia, a man accidentally chances upon a career as a detective.",Surendran,"Shanmugapandian, Neha Hinge, Devayani , Thalaivasal Vijay, Jagan, Powerstar Srinivasan"
17,Chennai Ungalai Anbudan Varaverkirathu,,Chennai Ungalai Anbudan Varaverkirathu - these are the first words people hear after reaching Chenna,Maruthupandiyan,"Bobby Simha, Linga , Saranya , Prabanjayann"
18,Ok Kanmani,Love Drama,"OK Kanmani, is all about journey leading up to a marriage. The film deals with the characters of two",Mani Ratnam,"Dulquer Salman , Nithya Menon, Prakash Raj , Kanika Subramaniam"
19,Kanchana 2,Horror Comedy,The template of the franchise is firmly on place in Kachana 2 as well. Spirits avenge their death,Raghava Lawrence,"Lawrence Raghavendra, Taapsee Pannu, Kovai Sarala, Jayaprakash , Nithya Menon, Mano Bala , Mayilsamy"
20,Vai Raja Vai,Thriller Drama,"The movie spins around Gautham Karthik's superpower (Extrasensory perception), which helps him to wi",Aishwarya Dhanush,"Gautham Karthik, Priya Anand, Taapsee Pannu, Vivek , Daniel Balaji, Sathish , Ms Bhaskar"
21,uttama villain,Drama Family,The film is about the life of a superstar with and without a mask. The film dwells in detail the sup,Ramesh Aravind,"Kamal Haasan, Pooja Kumar, Jayaram , Nassar , Andrea Jeremiah, Urvashi , Ms Bhaskar"
22,India Pakistan,Romance Comedy,The movie essentially starts of as a love hate relationship between two youngsters whose circumstanc,N. Anand,"Vijay Antony, Sushma Raj, Pasupathy , Yogi Babu, Mano Bala , Kaali Venkat, Ms Bhaska"
23,36 Vayadhinile,Family Drama,"The movie revolves around Vasanthi Tamilselvan (Jyothika), who sacrifices her dreams for her family.",Rosshan Andrrews,": Jyotika Saravanan, Rahman , Devadarshini, Abhirami , Nassar , Delhi Ganesh, Jayaprakash"
24,Purampokku,Social Drama,A crusader Balu(Arya) who has been awarded capital punishment is under the custody of a strict polic,Jananathan S.p.,": Arya , Vijay Sethupathi, Shaam , Karthika Nair"
25,Demonte Colony,Thriller Horror,A bunch of youngsters playfully venture into a house rumored to be haunted only to find themselves,Ajay Gnanamuthu,"Arulnidhi , Ms Bhaskar, Singampuli, Madhumitha , Yogi Babu, Ramesh Thilaganathan"
26,Masss,Thriller Horror,Venkat Prabhu blends the paranormal genre with his trademark commercial elements. Masss is very logi,Venkat Prabhu,"Suriya Sivakumar, Nayantara , Premji Amaren, Jayaram , Karunas , Parthiban , Sriman"
27,Kaaka Muttai,Children Drama,Two kids from a slum yearn to have a slice of Pizza from a recently opened eat-out in their neighbou,Manikandan,"Ramesh Thilaganathan, Vignesh J, Aishwarya Rajesh, Babu Antony, Silambarasan Rajendar, Yogi Babu"
28,Romeo Juliet,Love Romance,Aishwarya(Hansika) is on the lookout for her better half with a truck load of monetary anticipations,Laxman,"Jayam Ravi, Hansika Motwani, Poonam Bajwa, Vamsee Krishna , Vtv Ganesh, Arya"
29,Papanasam ,Crime Family,The movie is all about a common family man who goes to extreme lengths to protect his wife and daugh,Jeethu Jospeh,"Kamal Haasan, Nivetha Thomas, Kalabhavan Mani, Ms Bhaskar, Gouthami Tadimalla, Charlie, Delhi"
30,Baahubali,Adventure War,Amarendra Baahubali is the common man's savior. The people of his town worship him like they worship,S S Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannah Bhatia, Ramya Krishnan, Sathyaraj , Sudeep"
31,Maalai Nerathu Mayakkam,Love Romance,An unlikely couple get into the institute of 'arranged marriage,Geethanjali Selvaraghavan,"Bala Krishna Kola,, Wamiqa Gabbi, Parvathy Nair, Sharran, Kalyani Natarajan"
32,Azhagu Kutti Chellam,Drama Children,Azhagu Kutti Chellam is an upcoming Tamil film written and directed by Charles. The film features an,Charles,"Aadukalam Naren, Karunas , Thambi Ramaiah, Ritwika, John Vijay, Akhil"
33,Kathakali,Action Drama,A don whose nemeses outnumber the count of action films that Vishal has done is bumped off. It natur,Pandiaraj,"Vishal Krishna, Catherine Tresa, Karunas , Imman Annachi, Mime Gopi"
34,Rajini Murugan,Comedy Drama,Rajini Murugan has got a handful of stories to tell. A lead pair whose love is under a cloud due to,Ponram,": Sivakarthikeyan , Prabhu Ganesan, Keerthi Suresh, Soori, Rajkiran , Samuthirakani , Kanaka"
35,Thaarai Thappattai,Love Drama,The story is set against the backdrop of the life of folk dancers and their difficult livelihoods. V,Bala,"Sasikumar M, Varalaxmi Sarathkumar, G M Kumar, R.k Suresh, Gayathri Raguram, Anthony Daasan"
36,Irudhi Suttru,Sports Love,It is the story of a failed boxer finding redemption through his protegee. Madhavan plays the role,Sudha Kongara,"Madhavan R, Ritikha Singh, Nassar , Radha Ravi , Mumtaz Sorcar, Kaali Venkat"
37,Aranmanai 2,Comedy Horror,: A spirit is out to avenge the perpetuators of its death.,Sundar C,"Trisha Krishnan, Hansika Motwani, Siddharth Narayan, Sundar C, Poonam Bajwa, Vaibhav Reddy, Kovai Sarala"
